City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
195,Nouakchott,MR,75.81,scattered clouds,18.0858,-15.9785,HOTEL IMAN
196,Eyl,SO,76.71,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
198,Beoumi,CI,71.64,light rain,7.6736,-5.5764,Hôtel le Goly
200,Yanam,IN,74.71,broken clouds,16.7333,82.2167,The Regency Hotel
201,Hobyo,SO,78.82,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
204,Inhambane,MZ,74.21,few clouds,-23.865,35.3833,Oceano
205,Banda Aceh,ID,81.39,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
206,Mitsamiouli,KM,77.0,clear sky,-11.3847,43.2844,Foyer ADM
207,Taoudenni,ML,74.95,broken clouds,22.6783,-3.9836,
210,Capoeiras,BR,66.11,overcast clouds,-8.7347,-36.6267,Fogo romântico
212,Punta Alta,AR,66.92,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
214,Tabou,CI,76.91,light rain,4.423,-7.3528,hotêl doufoulougou
215,Araouane,ML,74.57,clear sky,18.9048,-3.5265,
216,Jodhpur,IN,74.17,overcast clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
222,Samdari,IN,76.24,overcast clouds,25.8167,72.5833,Karnoba Ki Dhani
224,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
225,San Juan,AR,81.37,overcast clouds,-31.5375,-68.5364,Hotel Provincial
232,Morant Bay,JM,80.22,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
233,Meulaboh,ID,80.73,overcast clouds,4.1363,96.1285,Kost Pria
238,Sandy Bay,AU,72.09,few clouds,-42.913,147.3532,St Ives Hobart Accommodation Tasmania
239,Codrington,AU,71.69,clear sky,-38.2667,141.9667,
246,Juruti,BR,74.98,light rain,-2.1522,-56.0922,Pousada Marupiara
247,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
248,Karaton,ID,79.75,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
250,Benjamin Aceval,PY,71.6,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
252,Chinsali,ZM,68.14,broken clouds,-10.5414,32.0816,Chisakatu Guest House
253,Pedro Ii,BR,69.71,heavy intensity rain,-4.4247,-41.4586,Opala Hotel
256,Salalah,OM,74.46,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
257,Chokwe,MZ,72.19,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
259,Rawson,AR,78.01,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
262,La Plata,AR,69.82,clear sky,-34.9215,-57.9545,Hotel Corregidor
264,Junagarh,IN,68.67,clear sky,19.8667,82.9333,Hotel Swagat
265,Bandarbeyla,SO,77.09,clear sky,9.4942,50.8122,JABIR HOTEL
268,Grand Gaube,MU,70.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
269,Lethem,GY,76.14,overcast clouds,3.3803,-59.7968,Savannah Inn
271,Praia,CV,76.75,clear sky,14.9215,-23.5087,LT Aparthotel
273,Surt,LY,68.7,clear sky,31.2089,16.5887,فندق المدينة
276,Caravelas,BR,71.74,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
277,Hinesburg,US,70.74,overcast clouds,44.3292,-73.1107,Carlson Cottage
278,Porto Novo,BJ,77.72,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
279,Barra Patuca,HN,78.24,broken clouds,15.8,-84.2833,
282,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
283,Tukrah,LY,68.31,light rain,32.5341,20.5791,Lagrota restaurant
285,Anloga,GH,80.08,light rain,5.7947,0.8973,Pin Drop Hotel
288,Ugoofaaru,MV,80.47,broken clouds,5.6667,73.0,Ungoofaaru Inn
290,Nizwa,OM,71.4,overcast clouds,22.9333,57.5333,Orient Apartments
292,Ngama,TD,75.88,broken clouds,11.7833,17.1667,
300,Komatipoort,ZA,70.05,scattered clouds,-25.4332,31.9548,Kruger View Backpackers
301,Catumbela,AO,74.57,overcast clouds,-12.4314,13.5472,Hotel Do Kamgamba
302,Trairi,BR,78.39,broken clouds,-3.2778,-39.2689,janelas do mar
303,Cap Malheureux,MU,70.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
308,Carupano,VE,77.83,light rain,10.6678,-63.2585,Hotel La dorada
309,Manthani,IN,70.32,clear sky,18.65,79.6667,"Sri Sai bike Paint,manthani"
310,Karwar,IN,76.89,clear sky,14.8,74.1333,Netalco Connects
311,Musoma,TZ,70.3,light rain,-1.5,33.8,New Peninsula Hotel
312,Buta,CD,68.16,light rain,2.7858,24.73,Hôtel BOPANDO
315,Marawi,PH,82.02,broken clouds,7.9986,124.2928,Derogongan Residence
316,Sur,OM,79.14,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
317,Bara,NG,71.67,broken clouds,10.3744,10.7288,
319,Umm Kaddadah,SD,74.03,clear sky,13.6017,26.6876,
325,Miraflores,MX,68.65,clear sky,19.2167,-98.8083,Hotel Mansión
326,Pallisa,UG,65.8,overcast clouds,1.145,33.7094,YNM Hotel
328,Cuiaba,BR,75.13,clear sky,-15.5961,-56.0967,Getúllio Hotel
329,Sao Raimundo Das Mangabeiras,BR,74.25,overcast clouds,-7.0219,-45.4811,Hotel Tropical
331,Richards Bay,ZA,67.05,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
332,Ponta Delgada,PT,65.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
333,Sumbe,AO,75.76,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
335,Buritizeiro,BR,68.05,few clouds,-17.3511,-44.9622,Santos Palace Hotel
338,Tombouctou,ML,72.7,clear sky,20.0,-3.0,
339,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
343,Dutse,NG,69.24,broken clouds,11.7594,9.3392,Kaci
346,Mayumba,GA,75.27,overcast clouds,-3.432,10.6554,LIKWALE LODGE
347,Roura,GF,76.91,moderate rain,4.7263,-52.3274,Amazonie Découverte SARL
348,Ingraj Bazar,IN,73.6,overcast clouds,25.0,88.15,Hotel Samrat
349,Cordoba,AR,73.76,clear sky,-31.4135,-64.1811,Hotel Sussex
351,Manta,EC,70.32,scattered clouds,-0.95,-80.7333,Balandra Hotel
352,Hambantota,LK,71.94,few clouds,6.1241,81.1185,Bungalow 63
355,Mandiana,GN,75.87,light rain,10.6333,-8.6833,Centre d'accueil de Mandiana
360,Mecca,SA,75.79,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
361,Harrisonburg,US,70.21,broken clouds,38.4496,-78.8689,Hampton Inn Harrisonburg - University
366,Amalapuram,IN,73.6,broken clouds,16.5833,82.0167,swayamprabha service apartments
367,Pires Do Rio,BR,70.43,broken clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
368,Durham,US,71.31,broken clouds,36.0335,-78.8664,Hampton Inn & Suites Durham/North I-85
373,Maragogi,BR,75.27,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
374,Sinnamary,GF,77.79,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
380,Knysna,ZA,66.78,overcast clouds,-34.0363,23.0471,Protea by Marriott Hotel Knysna Quays
381,Abu Dhabi,AE,82.4,clear sky,24.4667,54.3667,Beach Rotana
382,Tubmanburg,LR,72.79,scattered clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
384,Kisangani,CD,66.78,overcast clouds,0.5167,25.2,Grand Ramela Hotel
385,Angoche,MZ,73.54,broken clouds,-16.2325,39.9086,Guest House HESADA
386,Belmonte,BR,72.03,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
388,Abengourou,CI,70.54,broken clouds,6.7297,-3.4964,Hotel des Princes
390,Sinazongwe,ZM,78.82,light rain,-17.2614,27.4618,Lakeview Lodge
393,California,US,69.94,scattered clouds,38.3004,-76.5074,"Country Inn & Suites by Radisson, Lexington Park (Patuxent River Naval Air Station), MD"
395,Lakhisarai,IN,73.2,clear sky,25.1768,86.0932,Hotel DRS Deluxe
397,Sena Madureira,BR,74.98,broken clouds,-9.0656,-68.6569,Hotel Central
398,San Miguel,SV,73.09,overcast clouds,13.4833,-88.1833,Excalibur
406,Lobatse,BW,66.92,overcast clouds,-25.2167,25.6667,Swinburn's Rest
408,Isla Mujeres,MX,77.16,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
410,Jeremie,HT,77.47,clear sky,18.65,-74.1167,Auberge’Inn
411,Sakassou,CI,70.81,moderate rain,7.4546,-5.2926,Parents de Damienne
415,Dingle,PH,85.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
416,Sao Jose De Piranhas,BR,76.64,overcast clouds,-7.1206,-38.5019,Hotel Pousada São José
421,Key West,US,84.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
426,Japura,ID,76.8,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
427,Mapiripan,CO,75.13,broken clouds,2.8892,-72.1256,Monserrate
428,Santa Pola,ES,65.21,few clouds,38.1917,-0.5658,Patilla
